document_id	author	title	annotated	exclude	keep_fine_tuning	publication_date	document_length	link	link_OCR	notes
bpt6k1280445t	Molière	La Critique de l'Escole des femmes, comédie par J. B. P. Molière	TRUE	FALSE	FALSE	1674	49680	http://catalogue.bnf.fr/ark:/12148/cb38650917r	https://github.com/TextEnt/chrono-spatial-processing/blob/main/data/corpus_normalized/bpt6k1280445t.txt	
btv1b8622111v	Rotrou, Jean de	La pelerine amoureuse, tragi-comedie de Rotrou.	TRUE	FALSE	FALSE	1637	89644	http://catalogue.bnf.fr/ark:/12148/cb31251841x	https://github.com/TextEnt/chrono-spatial-processing/blob/main/data/corpus_normalized/btv1b8622111v.txt	
bpt6k10901623	Boisrobert, François de	Théodore, Reyne de Hongrie, tragi-comédie	TRUE	FALSE	TRUE	1658	80779	http://catalogue.bnf.fr/ark:/12148/cb44729598r	https://github.com/TextEnt/chrono-spatial-processing/blob/main/data/corpus_normalized/bpt6k10901623.txt	
btv1b86221039	Montfleury	La femme juge et partie . Comedie. Par A. J. Montfleury	TRUE	FALSE	FALSE	1669	85767	http://catalogue.bnf.fr/ark:/12148/cb30971162f	https://github.com/TextEnt/chrono-spatial-processing/blob/main/data/corpus_normalized/btv1b86221039.txt	
bpt6k1090061b	Du Peschier, Nicolas	La Comédie des comédies, traduite d'italien en langage de l'Orateur François	TRUE	FALSE	FALSE	1629	102764	http://catalogue.bnf.fr/ark:/12148/cb447294974	https://github.com/TextEnt/chrono-spatial-processing/blob/main/data/corpus_normalized/bpt6k1090061b.txt	
bpt6k12804645	Molière	Le Sicilien, ou L'amour peintre, comedie. Par J. B. P. de Moliere	TRUE	FALSE	FALSE	1668	35068	http://catalogue.bnf.fr/ark:/12148/cb309589320	https://github.com/TextEnt/chrono-spatial-processing/blob/main/data/corpus_normalized/bpt6k12804645.txt	
bpt6k1090049w	Vion, Charles de	La Pompe funèbre, ou Damon et Cloris, pastorale ; suivi de La Réforme du Royaume d'Amour	TRUE	FALSE	FALSE	1634	143357	http://catalogue.bnf.fr/ark:/12148/cb44729486g	https://github.com/TextEnt/chrono-spatial-processing/blob/main/data/corpus_normalized/bpt6k1090049w.txt	
btv1b8622099v	Rotrou, Jean de	Clorinde : comédie/de Rotrou	TRUE	FALSE	FALSE	1637	87528	http://catalogue.bnf.fr/ark:/12148/cb32586844f	https://github.com/TextEnt/chrono-spatial-processing/blob/main/data/corpus_normalized/btv1b8622099v.txt	
bpt6k10900954	Lambert	Les Sœurs jalouses, ou l'Escharpe et le Brasselet, comédie	TRUE	FALSE	FALSE	1661	91635	http://catalogue.bnf.fr/ark:/12148/cb44729532t	https://github.com/TextEnt/chrono-spatial-processing/blob/main/data/corpus_normalized/bpt6k10900954.txt	
bpt6k1090142b	Scarron, Paul	Le Prince corsaire, tragi-comédie	TRUE	FALSE	FALSE	1663	79524	http://catalogue.bnf.fr/ark:/12148/cb44729577s	https://github.com/TextEnt/chrono-spatial-processing/blob/main/data/corpus_normalized/bpt6k1090142b.txt	
bpt6k1280452z	Molière	L'Escole des femmes, comédie par J. B. P. Molière	TRUE	FALSE	FALSE	1674	93676	http://catalogue.bnf.fr/ark:/12148/cb38650901c	https://github.com/TextEnt/chrono-spatial-processing/blob/main/data/corpus_normalized/bpt6k1280452z.txt	
bpt6k1090276g	Rotrou, Jean de	La Bague de l'oubly, comédie	TRUE	FALSE	FALSE	1654	78599	http://catalogue.bnf.fr/ark:/12148/cb44729709v	https://github.com/TextEnt/chrono-spatial-processing/blob/main/data/corpus_normalized/bpt6k1090276g.txt	
bpt6k5629556w	Campistron, Jean Galbert de	Alcide, tragédie en musique (paroles de Campistron, musique de Lulli et Marais), représentée par l'Académie royalle de musique	TRUE	FALSE	FALSE	1693	34273	http://catalogue.bnf.fr/ark:/12148/cb301905970	https://github.com/TextEnt/chrono-spatial-processing/blob/main/data/corpus_normalized/bpt6k5629556w.txt	
bpt6k857183z	Bigres de Jussy, Pierre-Louis	Adolphe ou Le bigame genereux . Tragi-comedie.	TRUE	FALSE	FALSE	1650	110119	http://catalogue.bnf.fr/ark:/12148/cb38652614c	https://github.com/TextEnt/chrono-spatial-processing/blob/main/data/corpus_normalized/bpt6k857183z.txt	
bpt6k12801807	Tasse, Le	L'Aminte,... pastorale fidellement traduite de l'italien en vers françois [par Vion Dalibray]...	TRUE	FALSE	FALSE	1632	121664	http://catalogue.bnf.fr/ark:/12148/cb386931591	https://github.com/TextEnt/chrono-spatial-processing/blob/main/data/corpus_normalized/bpt6k12801807.txt	
bpt6k1090170n	Rotrou, Jean de	Les Ménechmes, comédie	TRUE	FALSE	FALSE	1661	85299	http://catalogue.bnf.fr/ark:/12148/cb44729606j	https://github.com/TextEnt/chrono-spatial-processing/blob/main/data/corpus_normalized/bpt6k1090170n.txt	
bpt6k1090131j	Boyer, Claude	Le Fils supposé, tragédie	TRUE	FALSE	FALSE	1672	88264	http://catalogue.bnf.fr/ark:/12148/cb447295664	https://github.com/TextEnt/chrono-spatial-processing/blob/main/data/corpus_normalized/bpt6k1090131j.txt	
